symbol,name,industry,E,S,G,ESG
HII,Huntington Ingalls Industries Inc.,Canada Fund Canadian Small/Mid Cap Equity,47.02,46.57,51.34,45.74
PAYC,Paycom Software Inc., , , , , 
RL,Ralph Lauren Corporation,Textiles & Apparel,1.22,7.79,5.62,14.62
FFIV,F5 Inc.,Technology Hardware,4.14,7.61,5.4,17.15
CPT,Camden Property Trust,Real Estate,4,3.93,8.17,16.09
QRVO,Qorvo Inc.,Semiconductors,12.32,8.5,7.7,28.52
BBWI,Bath & Body Works Inc.,Retailing,12.17,10.25,5.88,28.3
CTLT,Catalent Inc., , , , , 
TECH,Bio-Techne Corporation,Australia Fund Equity Global Technology,56.89,56.41,48.85,55.17
TFX,Teleflex Incorporated,Healthcare,4.83,16.12,8.67,29.63
UHS,Universal Health Services Inc.,Healthcare,3.7,20.68,8.6,32.98
BXP,Boston Properties Inc.,Real Estate,2.54,4.52,5.45,12.51
MOS,The Mosaic Company,Chemicals,13.87,11.05,8.6,33.52
HSIC,Henry Schein Inc.,Healthcare,2,5.67,6.28,13.95
AAL,American Airlines Group Inc.,Transportation,9.94,11.65,4.76,26.35
DAY,Dayforce Inc, , , , , 
PNW,Pinnacle West Capital Corporation,Utilities,14.72,10.23,5.84,30.79
AIZ,Assurant Inc.,Insurance,1.63,10.82,11.66,24.11
TPR,Tapestry Inc.,Textiles & Apparel,1.1,8.57,5.18,14.84
FRT,Federal Realty Investment Trust,Real Estate,2.27,4.34,5.82,12.42
MTCH,Match Group Inc., , , , , 
CZR,Caesars Entertainment Inc., , , , , 
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Services,8.97,10.9,6.08,25.94
CHRW,C.H. Robinson Worldwide Inc.,Transportation,4.73,9.29,5.3,19.32
GNRC,Generac Holdings Inc., , , , , 
BIO,Bio-Rad Laboratories Inc.,Pharmaceuticals,1.21,9.18,7,17.4
ETSY,Etsy Inc.,EAA Fund Other Equity,63.4,62.86,62.1,64.51
HAS,Hasbro Inc.,Consumer Durables,0.04,2.88,4.16,7.08
PARA,Paramount Global,Media,0.11,7.51,7.37,14.99
MKTX,MarketAxess Holdings Inc., , , , , 
BWA,BorgWarner Inc.,Auto Components,2.67,4.21,5.71,12.59
RHI,Robert Half International Inc.,Commercial Services,0.1,7.37,3.39,10.86
FMC,FMC Corporation,Chemicals,14.35,8.92,7.46,30.73
MHK,Mohawk Industries Inc.,Consumer Durables,5.75,4.19,4.19,14.14
GL,Globe Life Inc.,Insurance,1.58,8.28,10.49,20.35
CMA,Comerica Incorporated,Banks,2.5,11.04,11.66,25.19
IVZ,Invesco Ltd.,Diversified Financials,0.73,11.02,11.04,22.79
